t1-1,t1-2,t1-3,t2-01,t2-02,t3
1110,1429,1662,318,318,0
1127,1345,1406,574,446,1
1140,1329,1454,526,473,2
1080,1191,1531,449,467,3
1090,1323,1499,481,470,4
1120,1285,1461,519,519,0
1318,1468,1654,326,423,1
1155,1505,1589,391,412,2
1170,1500,1643,337,393,3
1230,1492,1576,404,395,4
1110,1258,1394,586,586,0
1290,1448,1764,216,401,1
1170,1490,1570,410,404,2
1350,1585,1889,91,326,3
1110,1384,1491,489,358,4
1230,1466,1595,385,385,0
1350,1693,1859,121,253,1
1385,1739,1865,115,207,2
1083,1159,1440,540,290,3
1350,1686,1937,43,241,4
1110,1282,1450,530,530,0
1133,1202,1378,602,566,1
1180,1489,1618,362,498,2
1230,1340,1502,478,493,3
1120,1415,1670,310,456,4
1100,1207,1449,531,531,0
1379,1632,1811,169,350,1
1290,1533,1734,246,315,2
1080,1344,1641,339,321,3
1160,1418,1650,330,323,4

1570,1572,1572,408,282.375,3

